PlantGroup,EnergyDigest,CrudeFiber,AverageCF
potato,91.5,2,1.87
potato,91.5,1.8,1.87
potato,90.5,1.8,1.87
potato,89,1.8,1.87
potato,87,1.8,1.87
potato,86.5,1.8,1.87
apple,70,5.7,5.74
apple,78.5,5.1,5.74
apple,78,5.5,5.74
apple,74.5,5.9,5.74
apple,72,6.1,5.74
apple,72.5,6.7,5.74
carrot,83,6.9,7.69
carrot,81.5,7.3,7.69
carrot,81,7.5,7.69
carrot,79,7.6,7.69
carrot,82,8.3,7.69
carrot,78,8.5,7.69
pea,70,8.9,10.06
pea,72,9.2,10.06
pea,70.5,10.1,10.06
pea,69,10,10.06
pea,66,10.2,10.06
pea,71.5,12,10.06
kale,59.5,13.6,14.68
kale,60.5,14.4,14.68
kale,55,14.5,14.68
kale,58,15.2,14.68
kale,55.5,15.2,14.68
kale,56,15.3,14.68
